,company_id,industry
0,81149246,Higher Education
1,10033339,Information Technology  Services
2,6049228,Accounting
3,2641066,Electrical  Electronic Manufacturing
4,96649998,Marketing  Advertising
5,82684341,Hospital  Health Care
6,82296828,Information Technology  Services
7,86746333,Logistics  Supply Chain
8,718651,Medical Practice
9,4781041,Mental Health Care
10,7573454,Information Technology  Services
11,1434753,Architecture  Planning
12,90844,Recreational Facilities  Services
13,91459053,Internet
14,145145,Staffing  Recruiting
15,2899710,Research
16,20338460,Civil Engineering
17,90633414,Management Consulting
18,2902815,Management Consulting
19,371180,Mental Health Care
20,10563070,Education Management
21,88684,Electrical  Electronic Manufacturing
22,14615655,Information Technology  Services
23,69571610,Cosmetics
24,3657,Higher Education
25,62424,Real Estate
26,18630069,Oil  Energy
27,1387626,Real Estate
28,35602,Financial Services
29,18872958,Nonprofit Organization Management
30,89908682,Consumer Services
31,2502541,Information Technology  Services
32,9516195,Retail
33,298409,Staffing  Recruiting
35,37768,Information Technology  Services
36,91187899,Real Estate
37,7032083,Information Technology  Services
38,33874,Hospital  Health Care
39,8986045,Oil  Energy
40,81886402,Hospital  Health Care
41,34771768,Staffing  Recruiting
42,3579761,Food  Beverages
43,6979,International Trade  Development
47,79378951,Real Estate
48,26489605,Design
49,9215353,Mental Health Care
52,76323347,Hospital  Health Care
60,3514329,Construction
61,2999886,Staffing  Recruiting
62,8288,Defense  Space
63,2815,Hospitality
65,61677,Staffing  Recruiting
66,40934666,Staffing  Recruiting
68,1485063,Environmental Services
69,19115854,Hospital  Health Care
70,1124883,Medical Practice
71,4316275,Health Wellness  Fitness
72,27116461,Computer Software
74,64734122,Consumer Goods
76,272676,Staffing  Recruiting
77,3079381,Machinery
78,10665641,Luxury Goods  Jewelry
79,2313067,Staffing  Recruiting
80,777243,Staffing  Recruiting
81,72332830,Staffing  Recruiting
82,165957,Law Practice
83,166612,Entertainment
84,22681,Nonprofit Organization Management
85,2326570,Management Consulting
86,82591929,Computer Software
87,90403412,Consumer Goods
88,11555975,Nonprofit Organization Management
89,301266,Real Estate
90,922460,Automotive
91,11001662,Real Estate
92,25963,Consumer Services
93,54945276,Medical Practice
94,72628508,Electrical  Electronic Manufacturing
95,61242,Retail
96,9599126,Hospital  Health Care
97,260776,Pharmaceuticals
99,1476408,Hospitality
100,153682,Food  Beverages
101,90636422,Financial Services
102,80998774,Consumer Goods
103,71558880,Pharmaceuticals
104,965922,Plastics
105,84013022,Building Materials
106,1505704,Banking
107,11234188,Apparel  Fashion
108,14015698,Food  Beverages
109,74886057,Government Administration
110,477012,Information Technology  Services
111,150217,Food  Beverages
112,8167270,Electrical  Electronic Manufacturing
113,15440862,Insurance
114,11420962,Chemicals
115,16063763,Management Consulting
116,40775779,Automotive
117,1211072,Information Technology  Services
118,4743385,Design
119,109690,Consumer Goods
120,82809834,Staffing  Recruiting
121,5103135,Wholesale
122,25719,Graphic Design
123,64948032,Biotechnology
124,99429,Management Consulting
125,2281751,Information Technology  Services
126,1724775,Oil  Energy
127,8596,Packaging  Containers
128,22330287,Biotechnology
129,80851163,Construction
130,88171782,Real Estate
131,2434292,Staffing  Recruiting
132,165416,Packaging  Containers
133,104849,Hospitality
134,37270045,Architecture  Planning
135,71612518,Media Production
136,3671,Retail
143,2413926,Staffing  Recruiting
144,3663488,Information Technology  Services
150,2474970,Information Technology  Services
151,101699,Facilities Services
160,4857886,OutsourcingOffshoring
174,1584751,Staffing  Recruiting
179,2908367,Staffing  Recruiting
184,90723074,Nonprofit Organization Management
185,206587,Public Relations  Communications
186,205127,Staffing  Recruiting
187,344890,Telecommunications
