,company_id,employee_count,follower_count,time_recorded,time_recorded_ts
0,81149246,6,91,1692644644.2779734,1970-01-20 14:10:44.644277973
1,10033339,3,187,1692644644.2779734,1970-01-20 14:10:44.644277973
2,6049228,20,82,1692644645.1013184,1970-01-20 14:10:44.645101318
3,2641066,45,2336,1692644645.9232166,1970-01-20 14:10:44.645923216
4,96649998,0,2,1692644645.924219,1970-01-20 14:10:44.645924219
5,82684341,3,128,1692644646.3704655,1970-01-20 14:10:44.646370465
6,82296828,0,64,1692644646.3704655,1970-01-20 14:10:44.646370465
7,86746333,11,478,1692644646.8182244,1970-01-20 14:10:44.646818224
8,718651,5,22,1692644647.1765628,1970-01-20 14:10:44.647176562
9,4781041,14,17,1692644647.62722,1970-01-20 14:10:44.647627220
10,7573454,94,9048,1692644648.0613468,1970-01-20 14:10:44.648061346
11,1434753,61,653,1692644648.0613468,1970-01-20 14:10:44.648061346
12,90844,249,1236,1692644648.44355,1970-01-20 14:10:44.648443550
13,91459053,2,24,1692644648.8276289,1970-01-20 14:10:44.648827628
14,145145,44,16833,1692644648.8276289,1970-01-20 14:10:44.648827628
15,2899710,139,2841,1692644649.205593,1970-01-20 14:10:44.649205593
16,20338460,38,1656,1692644649.205593,1970-01-20 14:10:44.649205593
17,90633414,5,732,1692644649.578196,1970-01-20 14:10:44.649578196
18,2902815,183,29262,1692644649.578196,1970-01-20 14:10:44.649578196
19,371180,1893,31310,1692644649.9914944,1970-01-20 14:10:44.649991494
20,10563070,14,349,1692644649.9914944,1970-01-20 14:10:44.649991494
21,88684,147,8111,1692644650.34355,1970-01-20 14:10:44.650343550
22,14615655,36,10237,1692644650.34355,1970-01-20 14:10:44.650343550
23,69571610,3717,158109,1692644650.6863291,1970-01-20 14:10:44.650686329
24,3657,28732,744716,1692644650.6863291,1970-01-20 14:10:44.650686329
25,62424,899,10311,1692644651.0513952,1970-01-20 14:10:44.651051395
26,18630069,19,1884,1692644651.0513952,1970-01-20 14:10:44.651051395
27,1387626,1676,39770,1692644651.449499,1970-01-20 14:10:44.651449499
28,35602,462,5824,1692644651.449499,1970-01-20 14:10:44.651449499
29,18872958,335,156482,1692644652.0976858,1970-01-20 14:10:44.652097685
30,89908682,18,301,1692644652.0976858,1970-01-20 14:10:44.652097685
31,2502541,29,8058,1692644653.155199,1970-01-20 14:10:44.653155199
32,9516195,113,8089,1692644653.155199,1970-01-20 14:10:44.653155199
33,298409,395,146046,1692644653.5256968,1970-01-20 14:10:44.653525696
35,37768,2025,231325,1692644653.940611,1970-01-20 14:10:44.653940611
36,91187899,2,582,1692644653.9416597,1970-01-20 14:10:44.653941659
37,7032083,119,40756,1692644654.387137,1970-01-20 14:10:44.654387137
38,33874,3725,15731,1692644654.3881612,1970-01-20 14:10:44.654388161
39,8986045,0,116,1692644655.195742,1970-01-20 14:10:44.655195742
40,81886402,1687,30991,1692644655.195742,1970-01-20 14:10:44.655195742
41,34771768,7,413,1692644655.5833864,1970-01-20 14:10:44.655583386
42,3579761,1873,17929,1692644655.5833864,1970-01-20 14:10:44.655583386
43,6979,25985,387187,1692644655.9695814,1970-01-20 14:10:44.655969581
45,6979,25985,387187,1692644656.352749,1970-01-20 14:10:44.656352749
47,79378951,19,95,1692644656.7188246,1970-01-20 14:10:44.656718824
48,26489605,19,762,1692644656.7188246,1970-01-20 14:10:44.656718824
49,9215353,499,6977,1692644657.0863972,1970-01-20 14:10:44.657086397
50,81886402,1687,30991,1692644657.0863972,1970-01-20 14:10:44.657086397
51,81886402,1687,30991,1692644657.4309351,1970-01-20 14:10:44.657430935
52,76323347,932,14276,1692644657.4319358,1970-01-20 14:10:44.657431935
53,76323347,932,14276,1692644657.8475058,1970-01-20 14:10:44.657847505
55,81886402,1687,30991,1692644658.3075688,1970-01-20 14:10:44.658307568
56,81886402,1687,30991,1692644658.3084865,1970-01-20 14:10:44.658308486
57,76323347,932,14276,1692644658.6645088,1970-01-20 14:10:44.658664508
58,81886402,1687,30991,1692644658.6645088,1970-01-20 14:10:44.658664508
59,81886402,1687,30991,1692644659.0128863,1970-01-20 14:10:44.659012886
60,3514329,422,20754,1692644659.0128863,1970-01-20 14:10:44.659012886
61,2999886,17,16309,1692644659.3629177,1970-01-20 14:10:44.659362917
62,8288,5521,87035,1692644659.3629177,1970-01-20 14:10:44.659362917
63,2815,43186,284104,1692644659.9981124,1970-01-20 14:10:44.659998112
64,81886402,1687,30991,1692644659.9981124,1970-01-20 14:10:44.659998112
65,61677,2815,389704,1692644660.3392503,1970-01-20 14:10:44.660339250
66,40934666,5,16505,1692644660.3392503,1970-01-20 14:10:44.660339250
67,8288,5521,87035,1692644660.7971656,1970-01-20 14:10:44.660797165
68,1485063,29,229,1692644661.1587803,1970-01-20 14:10:44.661158780
69,19115854,113,267,1692644661.6190252,1970-01-20 14:10:44.661619025
70,1124883,98,696,1692644661.6190252,1970-01-20 14:10:44.661619025
71,4316275,12,20,1692644661.994752,1970-01-20 14:10:44.661994752
72,27116461,59,11841,1692644661.994752,1970-01-20 14:10:44.661994752
73,3579761,1873,17929,1692644662.3694382,1970-01-20 14:10:44.662369438
74,64734122,31,291,1692644662.3694382,1970-01-20 14:10:44.662369438
75,3579761,1873,17929,1692644662.8812387,1970-01-20 14:10:44.662881238
76,272676,6,590,1692644663.2780228,1970-01-20 14:10:44.663278022
77,3079381,8,178,1692644663.2780228,1970-01-20 14:10:44.663278022
78,10665641,449,47697,1692644663.660056,1970-01-20 14:10:44.663660056
79,2313067,7,10842,1692644663.660056,1970-01-20 14:10:44.663660056
80,777243,356,241253,1692644664.067028,1970-01-20 14:10:44.664067028
81,72332830,91,32494,1692644664.068053,1970-01-20 14:10:44.664068053
82,165957,4756,90015,1692644664.4544868,1970-01-20 14:10:44.664454486
83,166612,9708,147371,1692645428.0,1970-01-20 14:10:45.428000000
84,22681,790,102620,1692645428.0,1970-01-20 14:10:45.428000000
85,2326570,670,59672,1692645429.0,1970-01-20 14:10:45.429000000
86,82591929,8,2159,1692684486.0,1970-01-20 14:11:24.486000000
87,90403412,1,4,1692684486.0,1970-01-20 14:11:24.486000000
88,11555975,18,751,1692684486.0,1970-01-20 14:11:24.486000000
89,301266,34,825,1692684486.0,1970-01-20 14:11:24.486000000
90,922460,222,2941,1692684487.0,1970-01-20 14:11:24.487000000
91,11001662,5,409,1692684487.0,1970-01-20 14:11:24.487000000
92,25963,1250,20418,1692684487.0,1970-01-20 14:11:24.487000000
93,54945276,7,7,1692684487.0,1970-01-20 14:11:24.487000000
94,72628508,10,1242,1692684488.0,1970-01-20 14:11:24.488000000
95,61242,156,2498,1692684488.0,1970-01-20 14:11:24.488000000
96,9599126,64,263,1692684488.0,1970-01-20 14:11:24.488000000
97,260776,311,5405,1692684488.0,1970-01-20 14:11:24.488000000
99,1476408,572,36757,1692684489.0,1970-01-20 14:11:24.489000000
100,153682,538,5185,1692684489.0,1970-01-20 14:11:24.489000000
101,90636422,282,2104,1692684489.0,1970-01-20 14:11:24.489000000
102,80998774,88,2554,1692684489.0,1970-01-20 14:11:24.489000000
103,71558880,108,1879,1692684489.0,1970-01-20 14:11:24.489000000
104,965922,18,448,1692684489.0,1970-01-20 14:11:24.489000000
105,84013022,4,96,1692684490.0,1970-01-20 14:11:24.490000000
106,1505704,418,5615,1692684490.0,1970-01-20 14:11:24.490000000
107,11234188,59,4705,1692684490.0,1970-01-20 14:11:24.490000000
108,14015698,12,275,1692684491.0,1970-01-20 14:11:24.491000000
109,74886057,1,14,1692684491.0,1970-01-20 14:11:24.491000000
110,477012,16,2274,1692684491.0,1970-01-20 14:11:24.491000000
111,150217,551,8906,1692684491.0,1970-01-20 14:11:24.491000000
112,8167270,38,631,1692684491.0,1970-01-20 14:11:24.491000000
113,15440862,98,690,1692684492.0,1970-01-20 14:11:24.492000000
114,11420962,6001,115401,1692684492.0,1970-01-20 14:11:24.492000000
115,16063763,39,2729,1692684492.0,1970-01-20 14:11:24.492000000
116,40775779,68,901,1692684492.0,1970-01-20 14:11:24.492000000
117,1211072,131,2050,1692684493.0,1970-01-20 14:11:24.493000000
118,4743385,40,699,1692684493.0,1970-01-20 14:11:24.493000000
119,109690,188,6932,1692684493.0,1970-01-20 14:11:24.493000000
120,82809834,2,3121,1692684494.0,1970-01-20 14:11:24.494000000
121,5103135,36,1463,1692684494.0,1970-01-20 14:11:24.494000000
122,25719,52,796,1692684494.0,1970-01-20 14:11:24.494000000
123,64948032,70,2607,1692684494.0,1970-01-20 14:11:24.494000000
124,99429,201,2385,1692684495.0,1970-01-20 14:11:24.495000000
125,2281751,20,293,1692684495.0,1970-01-20 14:11:24.495000000
126,1724775,140,35612,1692684495.0,1970-01-20 14:11:24.495000000
127,8596,4836,94215,1692684496.0,1970-01-20 14:11:24.496000000
128,22330287,989,40087,1692684496.0,1970-01-20 14:11:24.496000000
129,80851163,11,341,1692684496.0,1970-01-20 14:11:24.496000000
130,88171782,11,384,1692684496.0,1970-01-20 14:11:24.496000000
131,2434292,5,3432,1692684497.0,1970-01-20 14:11:24.497000000
132,165416,5752,81838,1692684497.0,1970-01-20 14:11:24.497000000
133,104849,147,4301,1692684497.0,1970-01-20 14:11:24.497000000
134,37270045,7,121,1692684497.0,1970-01-20 14:11:24.497000000
135,71612518,3,76,1692684497.0,1970-01-20 14:11:24.497000000
136,3671,16063,204662,1692684497.0,1970-01-20 14:11:24.497000000
137,3671,16063,204662,1692684498.0,1970-01-20 14:11:24.498000000
141,3671,16063,204662,1692684499.0,1970-01-20 14:11:24.499000000
143,2413926,13,8106,1692684499.0,1970-01-20 14:11:24.499000000
144,3663488,51,5665,1692684499.0,1970-01-20 14:11:24.499000000
147,3671,16063,204662,1692684500.0,1970-01-20 14:11:24.500000000
150,2474970,78,9443,1692684500.0,1970-01-20 14:11:24.500000000
151,101699,733,9555,1692684501.0,1970-01-20 14:11:24.501000000
152,3671,16063,204662,1692684501.0,1970-01-20 14:11:24.501000000
157,3671,16063,204662,1692684502.0,1970-01-20 14:11:24.502000000
160,4857886,2948,45509,1692684503.0,1970-01-20 14:11:24.503000000
161,3671,16063,204662,1692684503.0,1970-01-20 14:11:24.503000000
165,3671,16063,204662,1692684504.0,1970-01-20 14:11:24.504000000
171,3671,16063,204662,1692684505.0,1970-01-20 14:11:24.505000000
174,1584751,10,22616,1692684505.0,1970-01-20 14:11:24.505000000
175,3671,16063,204662,1692684506.0,1970-01-20 14:11:24.506000000
179,2908367,1735,164175,1692684506.0,1970-01-20 14:11:24.506000000
