,job_id,inferred,type
0,3690843087,0,Medical insurance
1,3690843087,0,Dental insurance
2,3690843087,0,401k
3,3690843087,0,Paid maternity leave
4,3690843087,0,Disability insurance
5,3690843087,0,Vision insurance
6,3691763971,1,Dental insurance
7,3691763971,1,Disability insurance
8,3691763971,1,401k
9,3691775263,0,Medical insurance
10,3691775263,0,Vision insurance
11,3691775263,0,Dental insurance
12,3691775263,0,401k
13,3691775263,0,Tuition assistance
14,3691775263,0,Disability insurance
15,3691792844,0,Medical insurance
16,3691792844,0,401k
17,3691792844,0,Pension plan
18,3691792844,0,Dental insurance
19,3691793575,1,Medical insurance
20,3691794313,1,Vision insurance
21,3691794313,1,401k
22,3691794313,1,Dental insurance
23,3691794313,1,Medical insurance
24,3691795389,1,Vision insurance
25,3691795389,1,401k
26,3691796226,0,Medical insurance
27,3691796226,0,Vision insurance
28,3691796226,0,Dental insurance
29,3691796226,0,401k
30,3691797979,1,Medical insurance
31,3691799471,1,401k
32,3691799471,1,Medical insurance
33,3691799471,1,Disability insurance
34,3691799472,0,Medical insurance
35,3691799472,0,Vision insurance
36,3691799472,0,Dental insurance
37,3691799472,0,401k
38,3691799472,0,Paid maternity leave
39,3691799472,0,Paid paternity leave
40,3691799472,0,Tuition assistance
41,3691799472,0,Disability insurance
42,3692300220,0,Medical insurance
43,3692300220,0,Vision insurance
44,3692300220,0,Dental insurance
45,3692300220,0,401k
46,3692300372,1,401k
47,3692300372,1,Vision insurance
48,3692300409,0,Medical insurance
49,3692300409,0,Vision insurance
50,3692300409,0,Dental insurance
51,3692300409,0,401k
52,3692300409,0,Paid maternity leave
53,3692300409,0,Paid paternity leave
54,3692300409,0,Tuition assistance
55,3692300409,0,Disability insurance
56,3692301165,1,Pension plan
57,3692301169,0,Medical insurance
58,3692301169,0,Vision insurance
59,3692301169,0,Dental insurance
60,3692303024,0,Medical insurance
61,3692303024,0,Vision insurance
62,3692303024,0,Dental insurance
63,3692303024,0,401k
64,3696355954,0,Medical insurance
65,3696355954,0,Vision insurance
66,3696355954,0,Dental insurance
67,3696355954,0,401k
68,3696362362,1,Disability insurance
69,3696362362,1,401k
70,3696368461,1,401k
71,3696369309,1,401k
72,3696371262,1,401k
73,3696372105,1,401k
74,3696373506,1,Medical insurance
75,3696373506,1,401k
76,3696375254,0,Medical insurance
77,3696375254,0,Vision insurance
78,3696375254,0,Dental insurance
79,3696375254,0,Disability insurance
80,3696388859,1,Medical insurance
81,3696388859,1,401k
82,3696388859,1,Disability insurance
83,3696394454,1,401k
84,3696394454,1,Disability insurance
85,3696396357,0,Medical insurance
86,3696396357,0,Vision insurance
87,3696396357,0,Dental insurance
88,3696396357,0,401k
89,3696396361,1,401k
90,3696396361,1,Disability insurance
91,3699944307,0,Medical insurance
92,3699944307,0,Dental insurance
93,3699944307,0,401k
94,3699944307,0,Disability insurance
95,3699947010,0,Medical insurance
96,3699947010,0,Vision insurance
97,3699947010,0,Dental insurance
98,3699947010,0,401k
99,3699953637,0,Medical insurance
100,3699953637,0,Vision insurance
101,3699953637,0,Dental insurance
102,3699953637,0,401k
103,3699953637,0,Pension plan
104,3699953637,1,Disability insurance
105,3700106733,0,Medical insurance
106,3700106733,0,Vision insurance
107,3700106733,0,Dental insurance
108,3700106733,0,401k
109,3700111693,0,Medical insurance
110,3700111693,0,Vision insurance
111,3700111693,0,Dental insurance
112,3700111693,0,401k
113,3700111693,0,Paid paternity leave
114,3700111693,0,Paid maternity leave
115,3700124761,0,Medical insurance
116,3700124761,0,401k
117,3700124761,0,Dental insurance
118,3700124761,0,Vision insurance
119,3700124761,0,Disability insurance
120,3700138521,0,Medical insurance
121,3700154162,1,401k
122,3700154162,1,Disability insurance
123,3690664476,0,Medical insurance
124,3690664476,0,Vision insurance
125,3690664476,0,Dental insurance
126,3690664476,0,401k
127,3690664476,0,Disability insurance
128,3690665137,0,Medical insurance
129,3690665137,0,Vision insurance
130,3690665137,0,Dental insurance
131,3690673180,0,Medical insurance
132,3690673180,0,Vision insurance
133,3690673180,0,Dental insurance
134,3690673180,0,401k
135,3690804650,0,Medical insurance
136,3690804650,0,Vision insurance
137,3690804650,0,Dental insurance
138,3690804650,0,401k
139,3690804650,0,Paid maternity leave
140,3690804650,0,Paid paternity leave
141,3690804650,0,Tuition assistance
142,3690804650,0,Disability insurance
143,3690813856,0,Medical insurance
144,3690813856,0,Vision insurance
145,3690813856,0,Dental insurance
146,3690813856,0,401k
147,3690813856,0,Paid maternity leave
148,3690813856,0,Commuter benefits
149,3690813856,0,Paid paternity leave
150,3690813856,0,Disability insurance
151,3690819024,0,Medical insurance
152,3690819024,0,Vision insurance
153,3690819024,0,Dental insurance
154,3690819024,0,401k
155,3690819024,0,Disability insurance
156,3690821627,0,Medical insurance
157,3690821627,0,Vision insurance
158,3690821627,0,Dental insurance
159,3690821627,0,401k
160,3690821627,0,Paid maternity leave
161,3690821627,0,Paid paternity leave
162,3690821627,0,Tuition assistance
163,3690821627,0,Disability insurance
164,3690821627,0,Commuter benefits
165,3690828940,0,401k
166,3690828940,0,Paid paternity leave
167,3690828940,0,Dental insurance
168,3690828940,0,Vision insurance
169,3690828940,0,Medical insurance
170,3690828940,0,Student loan assistance
171,3690828940,0,Paid maternity leave
172,3690828940,1,Tuition assistance
173,3690832043,0,Medical insurance
174,3690832043,0,Vision insurance
175,3690832043,0,Dental insurance
176,3690832043,0,401k
177,3690832043,0,Paid paternity leave
178,3690832043,0,Paid maternity leave
179,3690832043,0,Child care support
180,3690832043,0,Disability insurance
181,3690834347,0,Medical insurance
182,3690834347,0,Vision insurance
183,3690834347,0,Dental insurance
184,3690834347,0,401k
185,3690834347,0,Paid maternity leave
186,3690834347,0,Paid paternity leave
187,3690834347,0,Disability insurance
188,3690835135,0,Medical insurance
189,3690835135,0,Vision insurance
190,3690835135,0,Dental insurance
191,3690835135,0,401k
192,3690835330,0,Medical insurance
193,3690835330,0,Vision insurance
194,3690835330,0,Dental insurance
195,3690835330,0,401k
196,3690835330,0,Paid maternity leave
197,3690837484,0,Medical insurance
198,3690837484,0,Vision insurance
199,3690837484,0,Dental insurance
200,3690840013,1,Medical insurance
201,3690841034,0,Medical insurance
202,3690841034,0,Pension plan
203,3690841034,0,Tuition assistance
204,3690841533,0,Medical insurance
205,3690841533,0,Vision insurance
206,3690841533,0,Dental insurance
207,3690841533,0,401k
208,3690841533,0,Tuition assistance
209,3690841599,0,Medical insurance
210,3690841599,0,Vision insurance
211,3690841599,0,Dental insurance
212,3690841599,0,401k
213,3690843414,0,Medical insurance
214,3690843414,0,Dental insurance
215,3690843414,0,401k
216,3690843414,0,Paid maternity leave
217,3690843414,0,Disability insurance
218,3690844311,0,Medical insurance
219,3690844311,0,Vision insurance
220,3690844311,0,Dental insurance
221,3690844311,0,401k
222,3690844895,0,Medical insurance
